index,study_id,id,author,year,group,group_id,group_desc,url,country,region,city,time_MAX,time_50,time_MIN,detailed_time,exp_dur,fu_dur,age_base,age_category,age_SD,days_ps,days_cat,yrs_ps,stroke_type,terminal_dropout,outcome_name,outcome_extremity,ue_subscale,le_subscale,outcomenamecat,SCOAR_outcome,p_outcome_stated,itt_analysis,base_n,base_m,base_sd,difference_score,term_n,term_m,term_sd,diff_base,diff_term,fu_n,fu_m,fu_sd,est_corr,term_diff,term_s_diff,fu_diff,fu_s_diff,term_d,fu_d,j_corr_factor,term_g,aaa,fu_g,term_Vd,fu_Vd,term_Vg,SE,termvginv,fu_Vg,chck2,notes
389.00,113.00,mudge2009,mudge,2009.00,exp,250.00,circuit training,http://www.ncbi.nlm.nih.gov/pubmed/19969159,new zealand,,auckland,12.00,12.00,12.00,1.00,28.00,90.00,76.00,Remaining,,1215.45,>1year,3.33,0.00,1.00,10mwt SSV,le,,speed,speed,lohse,0.00,1.00,31.00,0.76,0.30,,31.00,0.79,0.28,,,31.00,0.77,0.26,0.50,0.03,0.29,0.01,0.28,0.10,0.04,0.97,0.10,0.32,0.03,0.03,0.03,0.03,0.18,32.45,0.03,,
392.00,114.00,ng2007,ng,2007.00,ctrl,251.00,no treatment,http://www.ncbi.nlm.nih.gov/pubmed/17901383,china,,hong kong,0.00,0.00,0.00,1.00,28.00,56.00,57.30,50th Percentile,,1898.00,>1year,5.2,0.00,1.00,gait speed 4.6m SSV,le,,speed,speed,lohse,0.00,0.00,20.00,0.63,0.25,,20.00,0.64,0.24,,,20.00,0.65,0.24,0.50,0.01,0.25,0.02,0.25,0.04,0.08,0.96,0.04,0.20,0.08,0.05,0.05,0.05,0.21,21.68,0.05,,flow of participants through the study is not clear
393.00,114.00,ng2007,ng,2007.00,exp,252.00,functional electrical stimulation,http://www.ncbi.nlm.nih.gov/pubmed/17901383,china,,hong kong,0.00,0.00,0.00,1.00,28.00,56.00,56.40,50th Percentile,,2263.00,>1year,6.2,0.00,2.00,gait speed 4.6m SSV,le,,speed,speed,lohse,0.00,0.00,19.00,0.55,0.26,,19.00,0.63,0.28,,,19.00,0.59,0.27,0.50,0.08,0.27,0.04,0.27,0.30,0.15,0.96,0.28,0.53,0.14,0.05,0.05,0.05,0.22,19.84,0.05,,flow of participants through the study is not clear
394.00,114.00,ng2007,ng,2007.00,exp,253.00,functional electrical stim + task relevant training,http://www.ncbi.nlm.nih.gov/pubmed/17901383,china,,hong kong,20.00,20.00,20.00,1.00,28.00,56.00,58.40,50th Percentile,,1825.00,>1year,5,0.00,1.00,gait speed 4.6m SSV,le,,speed,speed,lohse,0.00,0.00,21.00,0.51,0.28,,21.00,0.68,0.34,,,21.00,0.72,0.34,0.50,0.17,0.31,0.21,0.31,0.55,0.67,0.96,0.53,0.72,0.65,0.05,0.06,0.05,0.23,19.75,0.05,,flow of participants through the study is not clear
395.00,114.00,ng2007,ng,2007.00,exp,254.00,placebo stim + task relevant therapy,http://www.ncbi.nlm.nih.gov/pubmed/17901383,china,,hong kong,20.00,20.00,20.00,1.00,28.00,56.00,57.10,50th Percentile,,1715.50,>1year,4.7,0.00,2.00,gait speed 4.6m SSV,le,,speed,speed,lohse,0.00,0.00,20.00,0.49,0.25,,20.00,0.58,0.30,,,20.00,0.58,0.29,0.50,0.09,0.28,0.09,0.27,0.33,0.33,0.96,0.31,0.56,0.32,0.05,0.05,0.05,0.22,20.61,0.05,,flow of participants through the study is not clear
396.00,115.00,ng2008,ng,2008.00,ctrl,255.00,conventional overground gait training,http://stroke.ahajournals.org/content/39/1/154.short,china,,hong kong,50.00,50.00,50.00,1.00,28.00,180.00,73.40,75th Percentile,11.50,17.50,<90days,0.047945205,1.00,0.00,fim,,,,other,lohse,0.00,1.00,21.00,78.60,8.90,,21.00,98.20,14.30,,,21.00,102.50,16.50,0.50,19.60,11.91,23.90,13.26,1.65,1.80,0.96,1.58,1.26,1.73,0.11,0.13,0.10,0.32,9.64,0.12,,
397.00,115.00,ng2008,ng,2008.00,exp,256.00,electromechanical gait training,http://stroke.ahajournals.org/content/39/1/154.short,china,,hong kong,50.00,50.00,50.00,1.00,28.00,180.00,66.60,75th Percentile,11.30,18.90,<90days,0.051780822,1.00,0.00,fim,,,,other,lohse,0.00,1.00,17.00,78.60,12.00,,17.00,103.20,17.60,,,17.00,107.20,15.10,0.50,24.60,15.06,28.60,13.64,1.63,2.10,0.95,1.56,1.25,2.00,0.14,0.19,0.12,0.35,8.03,0.17,,
398.00,115.00,ng2008,ng,2008.00,exp,257.00,electromechanical gait training + FES,http://stroke.ahajournals.org/content/39/1/154.short,china,,hong kong,50.00,50.00,50.00,1.00,28.00,180.00,62.00,50th Percentile,10.00,16.10,<90days,0.044109589,1.00,0.00,fim,,,,other,lohse,0.00,1.00,16.00,65.00,16.80,,16.00,86.40,20.50,,,16.00,94.00,20.20,0.50,21.40,18.74,29.00,18.58,1.14,1.56,0.95,1.08,1.04,1.48,0.10,0.14,0.09,0.31,10.75,0.12,,
402.00,116.00,nilsson2001,nilsson,2001.00,ctrl,258.00,overground walking training,http://www.ncbi.nlm.nih.gov/pubmed/11594641,sweden,,gothenburg,47.14,47.14,47.14,1.00,66.00,280.00,56.00,50th Percentile,12.10,17.00,<90days,0.046575342,1.00,1.00,fim,,,,other,lohse,0.00,0.00,37.00,56.10,18.00,1.00,36.00,76.90,,1.00,0.00,32.00,81.90,,0.50,20.80,18.00,25.80,18.00,1.16,1.43,0.98,1.13,1.06,1.40,0.05,0.05,0.04,0.21,23.15,0.05,,
403.00,116.00,nilsson2001,nilsson,2001.00,exp,259.00,body-weight supported treadmill training,http://www.ncbi.nlm.nih.gov/pubmed/11594641,sweden,,gothenburg,48.57,48.57,48.57,1.00,68.00,180.00,54.00,50th Percentile,12.40,22.00,<90days,0.060273973,1.00,3.00,fim,,,,other,lohse,0.00,0.00,36.00,53.70,17.70,1.00,33.00,78.80,,1.00,0.00,28.00,80.30,,0.50,25.10,17.70,26.60,17.70,1.42,1.50,0.98,1.39,1.18,1.47,0.06,0.06,0.05,0.23,18.75,0.06,,
408.00,117.00,noh2008,noh,2008.00,ctrl,260.00,conventional gait and exercise training,http://cre.sagepub.com/content/22/10-11/966.full.pdf,south korea,,seoul,24.00,24.00,24.00,1.00,56.00,,66.00,75th Percentile,,584.00,>1year,1.6,0.00,2.00,bbs,le,,balance,balance,lohse,1.00,0.00,12.00,42.30,7.30,,10.00,44.50,6.70,,,,,,0.50,2.20,7.04,,7.30,0.31,,0.93,0.29,0.54,0.00,0.09,,0.08,0.28,13.22,,,
409.00,117.00,noh2008,noh,2008.00,exp,261.00,aquatic exercise therapy,http://cre.sagepub.com/content/22/10-11/966.full.pdf,south korea,,seoul,24.00,24.00,24.00,1.00,56.00,,61.90,50th Percentile,,1022.00,>1year,2.8,0.00,3.00,bbs,le,,balance,balance,lohse,1.00,0.00,13.00,43.30,5.20,,10.00,50.90,2.80,,,,,,0.50,7.60,4.34,,5.20,1.75,,0.94,1.64,1.28,0.00,0.20,,0.17,0.41,5.85,,,
410.00,118.00,olawale2011,olawale,2011.00,ctrl,262.00,conventional physiotherapy,http://www.ncbi.nlm.nih.gov/pubmed/21427155,nigeria,,lagos,36.00,36.00,36.00,1.00,84.00,,57.20,50th Percentile,5.90,309.00,<1year,0.846575342,0.00,3.00,10mwt SSV,le,,speed,speed,lohse,1.00,0.00,20.00,26.39,11.90,,20.00,24.65,10.49,,,,,,0.50,-1.74,11.22,,11.90,0.16,,0.96,0.15,0.39,0.00,0.05,,0.05,0.22,21.44,,,sign reversed for time measure
411.00,118.00,olawale2011,olawale,2011.00,exp,263.00,CPT + treadmill training,http://www.ncbi.nlm.nih.gov/pubmed/21427155,nigeria,,lagos,51.00,51.00,51.00,1.00,84.00,,56.80,50th Percentile,6.40,306.00,<1year,0.838356164,0.00,2.00,10mwt SSV,le,,speed,speed,lohse,1.00,0.00,20.00,30.56,10.73,,20.00,23.83,11.08,,,,,,0.50,-6.73,10.91,,10.73,0.62,,0.96,0.59,0.77,0.00,0.06,,0.05,0.23,18.23,,,sign reversed for time measure
412.00,118.00,olawale2011,olawale,2011.00,exp,264.00,CPT + overground walking,http://www.ncbi.nlm.nih.gov/pubmed/21427155,nigeria,,lagos,51.00,51.00,51.00,1.00,84.00,,56.80,50th Percentile,8.30,321.00,<1year,0.879452055,0.00,2.00,10mwt SSV,le,,speed,speed,lohse,1.00,0.00,20.00,29.30,10.60,,20.00,20.03,8.38,,,,,,0.50,-9.27,9.55,,10.60,0.97,,0.96,0.93,0.97,0.00,0.07,,0.07,0.26,14.76,,,sign reversed for time measure
416.00,119.00,olney2006,olney,2006.00,exp,265.00,strength and conditioning training,http://www.ncbi.nlm.nih.gov/pubmed/16410482,canada,ontario,kingston,45.00,45.00,45.00,1.00,70.00,365.00,63.50,75th Percentile,,1496.50,>1year,4.1,0.00,3.00,6minwt,le,,capacity,capacity,lohse,1.00,1.00,37.00,0.73,0.36,,34.00,0.82,0.38,,,29.00,0.78,0.37,0.50,0.09,0.37,0.05,0.36,0.24,0.14,0.98,0.24,0.49,0.13,0.03,0.03,0.03,0.16,37.49,0.03,,"the authors state intention to treat, but also state that no missing values were imputed and observations were not carried forward."
417.00,119.00,olney2006,olney,2006.00,exp,266.00,one week supervised followed by 9 weeks home training,http://www.ncbi.nlm.nih.gov/pubmed/16410482,canada,ontario,kingston,45.00,45.00,45.00,1.00,70.00,365.00,65.80,75th Percentile,,1241.00,>1year,3.4,0.00,3.00,6minwt,le,,capacity,capacity,lohse,1.00,1.00,35.00,0.76,0.34,,32.00,0.87,0.37,,,25.00,0.91,0.36,0.50,0.11,0.35,0.15,0.35,0.31,0.43,0.98,0.30,0.55,0.42,0.03,0.03,0.03,0.17,34.93,0.03,,"the authors state intention to treat, but also state that no missing values were imputed and observations were not carried forward."
418.00,120.00,oulette2004,oulette,2004.00,ctrl,267.00,stretching and range of motion exercise,http://www.ncbi.nlm.nih.gov/pubmed/15105515,usa,MA,boston,0.00,0.00,0.00,,84.00,,66.10,75th Percentile,9.60,768.00,>1year,2.104109589,0.00,1.00,6minwt,le,,capacity,capacity,lohse,0.00,1.00,21.00,221.00,34.00,,21.00,234.80,36.90,,,,,,0.50,13.80,35.48,,34.00,0.39,,0.96,0.37,0.61,0.00,0.05,,0.05,0.22,21.09,,,
419.00,120.00,oulette2004,oulette,2004.00,exp,268.00,progressive resistance training,http://www.ncbi.nlm.nih.gov/pubmed/15105515,usa,MA,boston,0.00,0.00,0.00,,84.00,,65.80,75th Percentile,11.40,954.00,>1year,2.61369863,0.00,2.00,6minwt,le,,capacity,capacity,lohse,0.00,1.00,21.00,217.10,30.50,,21.00,239.10,30.30,,,,,,0.50,22.00,30.40,,30.50,0.72,,0.96,0.70,0.83,0.00,0.06,,0.06,0.24,17.98,,,
424.00,121.00,outermans2010,outermans,2010.00,ctrl,269.00,low intensity physiotherapy program,http://www.ncbi.nlm.nih.gov/pubmed/20719820,netherlands,,utrecht,9.00,9.00,9.00,1.00,28.00,,56.30,50th Percentile,8.60,23.50,<90days,0.064383562,0.00,6.00,10mwt,le,,speed,speed,lohse,0.00,1.00,21.00,1.40,0.50,,21.00,1.40,0.40,,,,,,0.50,0.00,0.45,,0.50,0.00,,0.96,0.00,0.00,0.00,0.05,,0.04,0.21,22.69,,,
425.00,121.00,outermans2010,outermans,2010.00,exp,270.00,time matched high intensity physiotherapy,http://www.ncbi.nlm.nih.gov/pubmed/20719820,netherlands,,utrecht,9.00,9.00,9.00,1.00,28.00,,56.80,50th Percentile,8.60,22.50,<90days,0.061643836,0.00,6.00,10mwt,le,,speed,speed,lohse,0.00,1.00,22.00,1.50,0.50,,22.00,1.70,0.50,,,,,,0.50,0.20,0.50,,0.50,0.40,,0.96,0.39,0.62,0.00,0.05,,0.05,0.21,21.93,,,
428.00,122.00,page2004,page,2004.00,ctrl,271.00,no specified physical therapy,http://www.ncbi.nlm.nih.gov/pubmed/14970962,usa,OH,cincinnati,0.00,0.00,0.00,1.00,70.00,,63.67,75th Percentile,,1035.00,>1year,2.835616438,0.00,0.00,fma-ue,ue,fma,,fma,lohse,1.00,0.00,6.00,32.55,7.10,,6.00,29.70,7.10,,,,,,0.50,-2.85,7.10,,7.10,-0.40,,0.84,-0.34,#NUM!,0.00,0.18,,0.13,0.36,7.83,,,standard deviations are estimated from the standard errors  in Table 3
429.00,122.00,page2004,page,2004.00,ctrl,272.00,CPT,http://www.ncbi.nlm.nih.gov/pubmed/14970962,usa,OH,cincinnati,30.00,30.00,30.00,1.00,70.00,,60.75,50th Percentile,,1140.00,>1year,3.123287671,0.00,0.00,fma-ue,ue,fma,,fma,lohse,1.00,0.00,4.00,29.55,7.20,,4.00,35.50,7.20,,,,,,0.50,5.95,7.20,,7.20,0.83,,0.73,0.60,0.78,0.00,0.34,,0.18,0.42,5.64,,,standard deviations are estimated from the standard errors  in Table 3
430.00,122.00,page2004,page,2004.00,exp,273.00,modified CIMT,http://www.ncbi.nlm.nih.gov/pubmed/14970962,usa,OH,cincinnati,280.00,155.00,30.00,1.00,70.00,,55.00,50th Percentile,,762.80,>1year,2.089863014,0.00,0.00,fma-ue,ue,fma,,fma,lohse,1.00,0.00,7.00,30.85,7.41,,7.00,49.20,7.41,,,,,,0.50,18.35,7.41,,7.41,2.48,,0.87,2.15,1.47,0.00,0.58,,0.44,0.66,2.28,,,standard deviations are estimated from the standard errors  in Table 3
434.00,123.00,page2005,page,2005.00,ctrl,274.00,traditional rehabilitation,http://www.ncbi.nlm.nih.gov/pubmed/15673841,usa,OH,cincinnati,15.00,15.00,15.00,1.00,70.00,,62.20,50th Percentile,,4.80,<90days,0.013150685,1.00,0.00,fma-ue,ue,fma,,fma,lohse,1.00,0.00,5.00,35.00,6.60,,5.00,39.40,6.98,,,,,,0.50,4.40,6.79,,6.60,0.65,,0.80,0.52,0.72,0.00,0.24,,0.15,0.39,6.46,,,
435.00,123.00,page2005,page,2005.00,exp,275.00,modified CIMT,http://www.ncbi.nlm.nih.gov/pubmed/15673841,usa,OH,cincinnati,265.00,140.00,15.00,1.00,70.00,,58.60,50th Percentile,,4.00,<90days,0.010958904,1.00,0.00,fma-ue,ue,fma,,fma,lohse,1.00,0.00,5.00,33.90,2.13,,5.00,52.60,3.00,,,,,,0.50,18.70,2.60,,2.13,7.19,,0.80,5.75,2.40,0.00,5.37,,3.43,1.85,0.29,,,"Outlying effect-size, reject from analysis"
436.00,124.00,page2008,page,2008.00,ctrl,276.00,no therapy,http://www.ncbi.nlm.nih.gov/pubmed/18174447,usa,OH,cincinnati,0.00,0.00,0.00,1.00,70.00,,57.90,50th Percentile,8.40,1194.00,>1year,3.271232877,0.00,0.00,arat,ue,arat,,arat,lohse,1.00,0.00,10.00,24.30,14.85,,10.00,25.20,16.75,,,,,,0.50,0.90,15.83,,14.85,0.06,,0.91,0.05,0.23,0.00,0.10,,0.08,0.29,11.94,,Yes,
437.00,124.00,page2008,page,2008.00,ctrl,277.00,standard care,http://www.ncbi.nlm.nih.gov/pubmed/18174447,usa,OH,cincinnati,15.00,15.00,15.00,1.00,70.00,,57.90,50th Percentile,8.40,1194.00,>1year,3.271232877,0.00,0.00,arat,ue,arat,,arat,lohse,1.00,0.00,12.00,26.17,9.02,,12.00,29.17,10.00,,,,,,0.50,3.00,9.52,,9.02,0.32,,0.93,0.29,0.54,0.00,0.09,,0.08,0.28,13.21,,Yes,
438.00,124.00,page2008,page,2008.00,exp,278.00,mCIMT,http://www.ncbi.nlm.nih.gov/pubmed/18174447,usa,OH,cincinnati,265.00,135.00,15.00,1.00,70.00,,57.90,50th Percentile,8.40,1194.00,>1year,3.271232877,0.00,0.00,arat,ue,arat,,arat,lohse,1.00,0.00,13.00,27.71,7.41,,13.00,40.54,8.18,,,,,,0.50,12.83,7.80,,7.41,1.64,,0.94,1.54,1.24,0.00,0.18,,0.16,0.40,6.31,,Yes,
439.00,125.00,pandian2012,pandian,2012.00,exp,279.00,brunnstrom based therapy,http://www.ncbi.nlm.nih.gov/pubmed/22703742,india,,new delhi,12.00,12.00,12.00,1.00,28.00,,47.40,25th Percentile,,1016.10,>1year,2.783835616,1.00,0.00,fma-wh,ue,fma,,fma,lohse,0.00,0.00,15.00,14.67,6.10,,15.00,18.47,4.38,,,,,,0.50,3.80,5.31,,6.10,0.72,,0.95,0.68,0.82,0.00,0.08,,0.07,0.27,13.36,,,
440.00,125.00,pandian2012,pandian,2012.00,exp,280.00,motor relearning programme,http://www.ncbi.nlm.nih.gov/pubmed/22703742,india,,new delhi,12.00,12.00,12.00,1.00,28.00,,51.67,25th Percentile,,1088.00,>1year,2.980821918,1.00,0.00,fma-wh,ue,fma,,fma,lohse,0.00,0.00,15.00,12.33,3.26,,15.00,14.13,3.18,,,,,,0.50,1.80,3.22,,3.26,0.56,,0.95,0.53,0.73,0.00,0.08,,0.07,0.26,14.51,,,
441.00,126.00,pang2005,pang,2005.00,exp,281.00,intensive progressive lower extremity training,http://www.ncbi.nlm.nih.gov/pubmed/16181164,canada,,vancouver,57.00,57.00,57.00,1.00,133.00,,65.80,75th Percentile,9.10,1898.00,>1year,5.2,1.00,2.00,6minwt,le,,capacity,capacity,lohse,0.00,1.00,32.00,328.10,143.50,,32.00,392.70,151.10,,,,,,0.50,64.60,147.35,,143.50,0.44,,0.98,0.43,0.65,0.00,0.03,,0.03,0.18,30.67,,,
442.00,126.00,pang2005,pang,2005.00,ctrl,282.00,seated upper extremity program,http://www.ncbi.nlm.nih.gov/pubmed/16181164,canada,,vancouver,0.00,0.00,0.00,1.00,133.00,,64.70,75th Percentile,8.40,1861.50,>1year,5.1,1.00,1.00,6minwt,le,,capacity,capacity,lohse,0.00,1.00,31.00,304.10,123.80,0.00,31.00,342.40,133.40,,,,,,0.50,38.30,128.69,,123.80,0.30,,0.97,0.29,0.54,0.00,0.03,,0.03,0.18,31.24,,,
443.00,127.00,pang2006,pang,2006.00,exp,283.00,circuit based upper extremity training,http://www.ncbi.nlm.nih.gov/pubmed/16401430,canada,,vancouver,57.00,57.00,57.00,1.00,133.00,,64.90,75th Percentile,8.70,1861.50,>1year,5.1,1.00,3.00,wmft,ue,wmft,,wmft,lohse,0.00,0.00,30.00,2.90,1.60,,30.00,3.10,1.80,,,,,,0.50,0.20,1.70,,1.60,0.12,,0.97,0.11,0.34,0.00,0.03,,0.03,0.18,31.41,,,
444.00,127.00,pang2006,pang,2006.00,exp,284.00,circuit based lower extremity training,http://www.ncbi.nlm.nih.gov/pubmed/16401430,canada,,vancouver,0.00,0.00,0.00,1.00,133.00,,66.00,75th Percentile,8.70,1898.00,>1year,5.2,1.00,2.00,fma-ue,ue,fma,,fma,lohse,0.00,0.00,30.00,51.30,19.20,0.00,30.00,52.50,18.50,,,,,,0.50,1.20,18.85,,19.20,0.06,,0.97,0.06,0.25,0.00,0.03,,0.03,0.18,31.56,,,
446.00,128.00,park2011,park,2011.00,ctrl,285.00,routine physical therapy,http://www.ncbi.nlm.nih.gov/pubmed/21245205,south korea,,daejeon,20.00,20.00,20.00,1.00,28.00,,56.90,50th Percentile,7.79,860.10,>1year,2.356438356,1.00,1.00,10mwt,le,,speed,speed,lohse,0.00,0.00,13.00,0.45,0.19,,12.00,0.50,0.23,,,,,,0.50,0.05,0.21,,0.19,0.24,,0.94,0.22,0.47,0.00,0.08,,0.07,0.26,14.42,,,
447.00,128.00,park2011,park,2011.00,exp,286.00,routine PT + community ambulation training,http://www.ncbi.nlm.nih.gov/pubmed/21245205,south korea,,daejeon,32.00,32.00,32.00,1.00,28.00,,59.40,50th Percentile,8.46,843.00,>1year,2.309589041,1.00,1.00,10mwt,le,,speed,speed,lohse,0.00,0.00,14.00,0.51,0.18,,13.00,0.72,0.24,,,,,,0.50,0.21,0.21,,0.18,1.00,,0.94,0.94,0.97,0.00,0.11,,0.09,0.31,10.57,,,
450.00,129.00,park2013,park,2013.00,exp,287.00,overground gait training,https://www.jstage.jst.go.jp/article/jpts/25/4/25_2012-353/_pdf,south korea,,daejeon,20.00,20.00,20.00,1.00,28.00,,51.30,25th Percentile,11.00,495.00,>1year,1.356164384,1.00,0.00,6minwt,le,,capacity,capacity,lohse,0.00,0.00,10.00,92.50,19.90,,10.00,121.00,26.10,,,,,,0.50,28.50,23.21,,19.90,1.23,,0.91,1.12,1.06,0.00,0.18,,0.15,0.38,6.82,,,
451.00,129.00,park2013,park,2013.00,exp,288.00,treadmill gait training,https://www.jstage.jst.go.jp/article/jpts/25/4/25_2012-353/_pdf,south korea,,daejeon,20.00,20.00,20.00,1.00,28.00,,51.90,25th Percentile,8.90,702.00,>1year,1.923287671,1.00,0.00,6minwt,le,,capacity,capacity,lohse,0.00,0.00,10.00,106.50,14.20,,10.00,121.00,26.10,,,,,,0.50,14.50,21.01,,14.20,0.69,,0.91,0.63,0.79,0.00,0.12,,0.10,0.32,9.66,,,
452.00,129.00,park2013,park,2013.00,exp,289.00,overground gait training (less impaired group),https://www.jstage.jst.go.jp/article/jpts/25/4/25_2012-353/_pdf,south korea,,daejeon,20.00,20.00,20.00,1.00,28.00,,55.40,50th Percentile,7.20,441.00,>1year,1.208219178,1.00,0.00,6minwt,le,,capacity,capacity,lohse,0.00,0.00,10.00,298.70,66.60,,10.00,329.70,68.10,,,,,,0.50,31.00,67.35,,66.60,0.46,,0.91,0.42,0.65,0.00,0.11,,0.09,0.30,10.82,,,
453.00,129.00,park2013,park,2013.00,exp,290.00,treadmill gait training (less impaired group),https://www.jstage.jst.go.jp/article/jpts/25/4/25_2012-353/_pdf,south korea,,daejeon,20.00,20.00,20.00,1.00,28.00,,53.40,50th Percentile,7.10,582.00,>1year,1.594520548,1.00,0.00,6minwt,le,,capacity,capacity,lohse,0.00,0.00,10.00,301.00,74.10,,10.00,338.20,64.50,,,,,,0.50,37.20,69.47,,74.10,0.54,,0.91,0.49,0.70,0.00,0.11,,0.10,0.31,10.46,,,
458.00,130.00,parker2001,parker,2001.00,ctrl,291.00,coventional occupational therapy,http://www.ncbi.nlm.nih.gov/pubmed/11237160,uk,,nottingham,0.00,0.00,0.00,1.00,180.00,365.00,72.00,75th Percentile,,30.00,<90days,0.082191781,0.00,31.00,nottingham extended ADL,,,,other,lohse,0.00,1.00,157.00,,,,157.00,33.10,18.90,,,157.00,33.30,19.50,0.50,,,,,,,1.00,0.00,0.00,0.00,,,,0.00,,,,
459.00,130.00,parker2001,parker,2001.00,exp,292.00,leisure therapy,http://www.ncbi.nlm.nih.gov/pubmed/11237160,uk,,nottingham,0.00,0.00,0.00,1.00,180.00,365.00,72.00,75th Percentile,,23.00,<90days,0.063013699,0.00,26.00,nottingham extended ADL,,,,other,lohse,0.00,1.00,153.00,,,,153.00,33.30,18.40,,,153.00,32.70,17.80,0.50,,,,,,,1.00,0.00,0.00,0.00,,,,0.00,,,,
460.00,130.00,parker2001,parker,2001.00,exp,293.00,ADL therapy,http://www.ncbi.nlm.nih.gov/pubmed/11237160,uk,,nottingham,0.00,0.00,0.00,1.00,180.00,365.00,71.00,75th Percentile,,26.00,<90days,0.071232877,0.00,35.00,nottingham extended ADL,,,,other,lohse,0.00,1.00,156.00,,,,156.00,34.70,18.40,,,156.00,34.10,19.10,0.50,,,,,,,1.00,0.00,0.00,0.00,,,,0.00,,,,
461.00,131.00,parry1999,parry,1999.00,ctrl,294.00,routine physical therapy,http://www.ncbi.nlm.nih.gov/pubmed/10392645,uk,,nottingham,0.00,0.00,0.00,,35.00,180.00,,Not Available,,12.00,<90days,0.032876712,0.00,,rivermead mobility - arm items,,,,other,lohse,0.00,0.00,57.00,,,,57.00,1.00,,,,57.00,1.00,,0.50,,,,,,,0.99,0.00,0.00,0.00,,,,0.00,,,,
462.00,131.00,parry1999,parry,1999.00,exp,295.00,additional physio from a qualified therapist,http://www.ncbi.nlm.nih.gov/pubmed/10392645,uk,,nottingham,0.00,0.00,0.00,,35.00,180.00,,Not Available,,12.00,<90days,0.032876712,0.00,,rivermead mobility - arm items,,,,other,lohse,0.00,0.00,68.00,,,,68.00,1.00,,,,68.00,1.00,,0.50,,,,,,,0.99,0.00,0.00,0.00,,,,0.00,,,,
463.00,131.00,parry1999,parry,1999.00,exp,296.00,additional physio from an assistant therapist,http://www.ncbi.nlm.nih.gov/pubmed/10392645,uk,,nottingham,0.00,0.00,0.00,,35.00,180.00,,Not Available,,12.00,<90days,0.032876712,0.00,,rivermead mobility - arm items,,,,other,lohse,0.00,0.00,61.00,,,,61.00,1.00,,,,61.00,1.00,,0.50,,,,,,,0.99,0.00,0.00,0.00,,,,0.00,,,,
464.00,132.00,partridge2000,partridge,2000.00,ctrl,297.00,conventional PT,http://www.ncbi.nlm.nih.gov/pubmed/11129665,uk,,canterbury,15.00,15.00,15.00,1.00,42.00,180.00,,Not Available,,,NA,,0.00,4.00,profiles of recovery,,,,other,lohse,1.00,0.00,60.00,5.10,4.10,,56.00,9.80,4.60,,,49.00,10.10,3.30,0.50,4.70,4.35,5.00,3.76,1.08,1.33,0.99,1.07,1.03,1.31,0.03,0.03,0.03,0.16,38.86,0.03,,
465.00,132.00,partridge2000,partridge,2000.00,exp,298.00,CPT + CPT,http://www.ncbi.nlm.nih.gov/pubmed/11129665,uk,,canterbury,30.00,30.00,30.00,1.00,42.00,180.00,,Not Available,,,NA,,0.00,2.00,profiles of recovery,,,,other,lohse,1.00,0.00,54.00,4.60,4.10,,52.00,9.50,4.20,,,44.00,9.00,4.20,0.50,4.90,4.15,4.40,4.15,1.18,1.06,0.99,1.16,1.08,1.05,0.03,0.03,0.03,0.17,32.74,0.03,,
468.00,133.00,patten2013,patten,2013.00,ctrl,299.00,functional task practice,http://www.jneuroengrehab.com/content/10/1/1,usa,FL,gainesville,0.00,0.00,0.00,,28.00,,64.70,75th Percentile,9.70,441.00,>1year,1.208219178,1.00,0.00,wmft,ue,wmft,,wmft,lohse,1.00,0.00,9.00,2.90,1.10,1.00,9.00,3.07,,,,,,,0.50,0.17,1.10,,1.10,0.15,,0.90,0.14,0.37,0.00,0.11,,0.09,0.30,10.90,,,
469.00,133.00,patten2013,patten,2013.00,exp,300.00,combined FTP and power training,http://www.jneuroengrehab.com/content/10/1/1,usa,FL,gainesville,0.00,0.00,0.00,,28.00,,72.90,75th Percentile,11.10,342.00,<1year,0.936986301,1.00,0.00,wmft,ue,wmft,,wmft,lohse,1.00,0.00,10.00,3.10,0.80,1.00,10.00,3.44,,,,,,,0.50,0.34,0.80,,0.80,0.43,,0.91,0.39,0.62,0.00,0.11,,0.09,0.30,10.97,,,
472.00,134.00,peurala2005,peurala,2005.00,ctrl,301.00,overground walking + CPT,http://www.ncbi.nlm.nih.gov/pubmed/16084808,finland,,kuopio,20.40,20.40,20.40,3.00,21.00,,52.30,50th Percentile,6.80,1460.00,>1year,4,1.00,0.00,10mwt MAX,le,,speed,speed,lohse,0.00,0.00,15.00,39.50,25.50,,15.00,32.10,15.90,,,14.00,,,0.50,-7.40,21.25,,25.50,0.35,,0.95,0.33,0.57,0.00,0.07,,0.06,0.25,15.82,,,sign reversed for time measure
473.00,134.00,peurala2005,peurala,2005.00,exp,302.00,BWS gait training + CPT,http://www.ncbi.nlm.nih.gov/pubmed/16084808,finland,,kuopio,20.40,20.40,20.40,3.00,21.00,,51.20,25th Percentile,7.90,876.00,>1year,2.4,1.00,0.00,10mwt MAX,le,,speed,speed,lohse,0.00,0.00,15.00,39.60,35.40,,15.00,30.30,23.60,,,14.00,,,0.50,-9.30,30.08,,35.40,0.31,,0.95,0.29,0.54,0.00,0.07,,0.06,0.25,16.02,,,sign reversed for time measure
